cancel  v.删去,取消
unavailable  adj.不可获得的,达不到的
abrupt  a.突然的;粗暴的
salary  n.薪水
pollution  n.污染
spontaneous  a.自发的,无意识的;自然的,天真率直的
pretend  v.假装
tranquilizer  n.镇定剂
imperfect  adj.不完善的
pick  v.摘；拾取
roil  v.煽动,搅浑
gloomy  a.黑暗的;郁闷的
energy  n.活力，精力；能，能量
deference  n.敬意,尊重
unitedkingdom  n.英国，联合王国
compassionate  adj.有同情心的
perspicacity  n.敏锐
teetotaler  n.禁酒者
nonviolent  adj.不使用暴力的,非暴力的
protective  a.保护的，防护的
resurgent  adj.再起的,复活的
grandiloquent  adj.(语言等)夸张的,夸大的
bogus  adj.假装的,假的
flit  v.掠过,迅速飞过
indigence  n.贫穷
role  n.角色,任务
glade  n.林中的空地
upholstery  n.室内装潢品(地毯,窗帘等)
fearless  a.无畏的，大胆的
roll  n./v.卷,滚动,隆隆声
I  pron.我
turn  v.转动
disciplinarian  n.严行纪律的人
gold  n.黄金
result  n.结果
golf  n.高尔夫球
pier  n.码头,桥墩
selfish  adj.自私的，利己的
evaporate  v.使蒸发,使脱水,消失
after  prep.在…后
staircase  n.楼梯
flip  v.用指轻弹,蹦跳;adj.无礼的
nibble  v.一点点地咬,慢慢啃
resume  vt.重新开始;继续;重新占用
barricade  v.设栅阻挡；n.栅栏
a  art.一个
garland  n.(作为胜利标志的)花环,奖品
posture  n.姿势,体态;态度;v.故作姿态
artistic  a.艺术(家)的，美术(家)的；善于艺术创作的
truncated  adj.截去顶端的;被弄得灰心丧气的
decapitate  v.杀头
pied  adj.杂色的
neighbor  n.邻居
gripping  adj.紧紧抓住注意力的
stasis  n.停滞
outdoors  ad.在户外，在野外
overjoy  n.使大喜
sunset  n.日落，傍晚；晚霞
information  n.通知；消息
dogged  adj.顽强的
blustering  a.大吵大闹的
good  a.好；优良的
undulate  v.波动,起伏
empty  a.空的
faithful  a.守信的，忠实的，如实的，可靠的
reproduce  v.生殖；翻版；繁殖；复制，仿造
skeleton  n.骨骼,(建筑物、计划的)骨架,纲要
gong  n.锣
huddle  v.挤成一堆；n.一堆人(杂物)
besides  ad.此外
myriad  n.极大数量;a.无数的
flaring  adj.火焰摇曳的；过分艳丽的
serious  a.严肃的
disperse  v.使散开,使疏开,使分散
factionalism  n.宗派活动,宗派性
erratic  adj.反复无常的；古怪的
levitate  v.(使)浮于空中
informative  adj.提供资料的
extirpate  v.消灭,根除
walker  n.步行者，散步者
tusk  n.(象)长牙
divergence  n.分歧
importune  v.强求,不断请求
cif  n.(缩)到岸价（=Cost,Insurance&Freight）
ascend  vi.渐渐上升，升高vt.攀登，登上
rope  n.绳；索v.围起
protectionism  n.贸易保护主义
embody  vt.体现,使具体化;包含,收录
representation  n.描写；陈述；代表
welter  n.混乱,杂乱无章
ascent  n.上升,攀登
motive  n.动机，目的a.发动的，运动的
root  n.根部；根源
possessive  adj.所有(格)的
multiply  vt./vi.[数]乘,增加,增多,繁殖
hauteur  n.傲慢
roof  n.屋顶
conducive  a.有益于…的,有助于…的
umbrella  n.伞
raffle  n.(尤指为公益事业举办的)抽奖售物(活动)
multiple  a.多样的，多重的n.倍数v.成倍增加
room  n.房间
better  a.较好的ad.更好(地)v.改良n.较佳者
intemperate  adj.无节制的,放纵的
poignant  adj.伤心的；尖锐的
puncture  v.刺穿,刺破;n.刺孔,穿孔
cancer  n.癌
antihistamine  n.(治疗过敏的)抗组胺剂
taking  adj.楚楚动人的
breadth  n.宽度，幅
pile  n.堆
artistry  n.艺术技巧
nitpick  v.挑剔,吹毛求疵
part-time  adj.计时(干活)的
pill  n.药丸
chilly  adj.凉的，冷淡的
dummy  n.傀儡
burlesque  n.讽刺或滑稽的戏剧
executor  n.遗嘱执行人
flow  vi.流动
order  n.命令；次序；整齐；定货单；等级v.定制，订购
timid  a.胆怯的，怯懦的
computerization  n.计算机化
phobia  n.恐惧症
reform  v.改革，改造，改良n.改革，改造，改良
angular  adj.角状的
remit  v.汇款，汇出
derangement  n.精神错乱
malevolent  adj.有恶意的,恶毒的
ensue  v.继而发生
coach  n.长途公共汽车,铁路客车,教师,教练v.辅导,训练
homage  n.效忠,崇敬
vaccination  n.接种
pink  n.粉红色a.粉红色的
woman  n.女人
pine  vi.消瘦,衰弱;n.松树
protection  n.保护，警戒
pint  n.品脱
stagger  v./n.摇晃;蹒跚;vt.使吃惊;使错开,使交错
labor-intensive  adj.劳动密集型的
interregnum  n.无王时期
honesty  n.诚实，正直
syndrome  n.综合症状
rosy  adj.玫瑰红的，幻想的,乐观的,愉快美好的
surname  n.姓
fraternity  n.同类人
redundancy  n.过剩；备份;似乎多余其实重要的后备力量;
rote  n.死记硬背
beholder  n.目睹者，旁观者
